;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";02.05.2022;02.05.2022;02.05.2022;30.03.2023;26.04.2024;01.04.2025;20.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";3.61;3.97;6.03;8.27;11.6;13.0;13.5
"Операционная прибыль, млрд руб";-0.868;-0.577;-2.81;0.750;1.82;2.23;2.02
"EBITDA, млрд руб";-0.492;0.033;0.320;1.67;2.78;3.21;3.03
"Чистая прибыль, млрд руб";-0.806;-0.627;-2.86;0.480;1.69;2.46;2.46
"Операционный денежный поток, млрд руб";-0.361;0.230;-2.06;1.92;2.42;2.81;3.82
"CAPEX, млрд руб";0.128;0.111;0.141;0.120;0.439;0.444;0.173
"FCF, млрд руб";-0.542;0.052;-2.24;1.76;1.94;2.34;2.98
"Див доход, ао, %";;;0.0%;0.0%;0.0%;0.0%;0
"Дивиденды/прибыль, %";0%;0%;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";4.48;4.55;8.85;7.51;9.75;10.8;11.5
"Амортизация, млрд руб";;;;;0.3;0.4;0.4
"Расх на персонал, млрд руб";1.39;2.21;5.06;3.76;4.35;4.99;5.47
"Активы, млрд руб";;1.37;5.60;6.97;10.3;13.1;14.9
"Чистые активы, млрд руб";;-0.872;3.87;5.01;4.24;5.94;10.4
"Долг, млрд руб";;0.728;0.000;0.000;0.000;0.000;0.000
"Наличность, млрд руб";;0.449;2.42;4.10;6.43;9.22;10.7
"Чистый долг, млрд руб";0.00;0.28;-2.42;-4.10;-6.43;-9.22;-10.7
"Цена акции ао, руб";;;"1 040";361.2;614.2;527.4;644.0
"Число акций ао, млн";;;70.0;70.0;70.0;77.7;77.7
"Free Float, %";;;;;;43.0%;34.0%
"Капитализация, млрд руб";0.00;0.00;72.8;25.3;43.0;41.0;50.0
"EV, млрд руб";0.00;0.28;70.3;21.2;36.5;31.7;39.3
"Баланс стоимость, млрд руб";0.00;-1.13;1.89;3.15;1.77;3.64;8.17
"EPS, руб";;;-40.8;6.86;24.2;31.7;31.6
"FCF/акцию, руб";;;-32.1;25.2;27.7;30.1;38.4
"BV/акцию, руб";;;27.0;45.0;25.3;46.9;105.1
"Рентаб EBITDA, %";-13.6%;0.8%;5.3%;20.2%;24.0%;24.7%;22.4%
"Чистая рентаб, %";-22.3%;-15.8%;-47.4%;5.8%;14.6%;18.9%;18.2%
"Доходность FCF, %";;;-3.1%;7.0%;4.5%;5.7%;6.0%
"ROE, %";;71.9%;-73.8%;9.6%;39.9%;41.4%;23.7%
"ROA, %";;-45.8%;-51.0%;6.9%;16.4%;18.9%;16.5%
P/E;0.00;0.00;-25.5;52.6;25.4;16.7;20.4
P/FCF;0.00;0.00;-32.4;14.4;22.1;17.5;16.8
P/S;0.00;0.00;12.1;3.06;3.71;3.15;3.70
P/BV;;0.00;38.5;8.03;24.3;11.3;6.13
EV/EBITDA;0.00;8.45;219.8;12.7;13.1;9.89;13.0
Долг/EBITDA;0.00;8.45;-7.56;-2.46;-2.31;-2.87;-3.55
"R&D/CAPEX, %";0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";4%;3%;2%;1%;4%;3%;1%
